strain,stress
0e+00,0e+00
6e-03,2.04e+00
1.2e-02,4.08e+00
1.8e-02,6.12e+00
2.4e-02,7.0126233e+00
3e-02,7.0348234e+00
3.6e-02,7.0570235e+00
4.2e-02,7.0792236e+00
4.8e-02,7.1014237e+00
5.4e-02,7.1236234e+00
6e-02,7.1458235e+00
6.6e-02,7.1680236e+00
7.2e-02,7.1902237e+00
7.8e-02,7.2124233e+00
8.4e-02,7.2346234e+00
9e-02,7.2568235e+00
9.6e-02,7.2790236e+00
1.02e-01,7.3012238e+00
1.08e-01,7.3234234e+00
1.14e-01,7.3456235e+00
1.2e-01,7.3678236e+00
1.26e-01,7.3900237e+00
1.32e-01,7.4122233e+00
1.38e-01,7.4344234e+00
1.44e-01,7.4566236e+00
1.5e-01,7.4788237e+00
1.56e-01,7.501024e+00
1.62e-01,7.5232234e+00
1.68e-01,7.5454235e+00
1.74e-01,7.5676236e+00
1.8e-01,7.5898237e+00
1.86e-01,7.6120234e+00
1.92e-01,7.6342235e+00
1.98e-01,7.6564236e+00
2.04e-01,7.6786237e+00
2.1e-01,7.7008233e+00
2.16e-01,7.7230234e+00
2.22e-01,7.7452235e+00
2.28e-01,7.7674236e+00
2.34e-01,7.7896237e+00
2.4e-01,7.8118234e+00
2.46e-01,7.8340235e+00
2.52e-01,7.8562236e+00
2.58e-01,7.8784237e+00
2.64e-01,7.9006233e+00
2.7e-01,7.9228234e+00
2.76e-01,7.9450235e+00
2.82e-01,7.9672236e+00
2.88e-01,7.9894238e+00
2.94e-01,8.011623e+00
3e-01,8.033824e+00
3.06e-01,8.056024e+00
3.12e-01,8.078223e+00
3.18e-01,8.100424e+00
3.24e-01,8.122623e+00
3.3e-01,8.144823e+00
3.36e-01,8.167024e+00
3.42e-01,8.189223e+00
3.48e-01,8.211424e+00
3.54e-01,8.2336235e+00
3.6e-01,8.255823e+00
3.66e-01,8.278024e+00
3.72e-01,8.300223e+00
3.78e-01,8.322424e+00
3.84e-01,8.344624e+00
3.9e-01,8.366823e+00
3.96e-01,8.389024e+00
4.02e-01,8.411223e+00
4.08e-01,8.433424e+00
4.14e-01,8.455624e+00
4.2e-01,8.477823e+00
4.26e-01,8.500024e+00
4.32e-01,8.522223e+00
4.38e-01,8.544423e+00
4.44e-01,8.566624e+00
4.5e-01,8.588823e+00
4.56e-01,8.611024e+00
4.62e-01,8.633224e+00
4.68e-01,8.655423e+00
4.74e-01,8.677624e+00
4.8e-01,8.699823e+00
4.86e-01,8.722024e+00
4.92e-01,8.744224e+00
4.98e-01,8.766423e+00
5.04e-01,8.788624e+00
5.1e-01,8.810823e+00
5.16e-01,8.833024e+00
5.22e-01,8.855224e+00
5.28e-01,8.877423e+00
5.34e-01,8.899624e+00
5.4e-01,8.9218235e+00
5.46e-01,8.944023e+00
5.52e-01,8.966224e+00
5.58e-01,8.988423e+00
5.64e-01,9.010624e+00
5.7e-01,9.032824e+00
5.76e-01,9.055023e+00
5.82e-01,9.077224e+00
5.88e-01,9.099423e+00
5.94e-01,9.121624e+00
